2025-03-27 19:50:14,517 - rank_0 - INFO - Rank 0: Starting with master at 192.168.1.80...
2025-03-27 19:50:14,517 - rank_0 - INFO - Job started at 2025-03-27 19:50:14
2025-03-27 19:50:14,517 - rank_0 - INFO - Master setting GLOO_SOCKET_IFNAME=wlo1
2025-03-27 19:50:14,517 - rank_0 - INFO - Master node ready at 192.168.1.80:29500
2025-03-27 19:50:14,517 - rank_0 - INFO - Using backend: gloo
2025-03-27 19:50:14,517 - rank_0 - INFO - Waiting for worker nodes to connect...
2025-03-27 19:55:41,178 - rank_0 - INFO - Rank 0: Starting with master at 192.168.1.80...
2025-03-27 19:55:41,178 - rank_0 - INFO - Job started at 2025-03-27 19:55:41
2025-03-27 19:55:41,178 - rank_0 - INFO - Rank 0 using network interface: wlo1
2025-03-27 19:55:41,178 - rank_0 - INFO - Master node at 192.168.1.80:29500
2025-03-27 19:55:50,072 - rank_0 - INFO - Rank 0 connected successfully
2025-03-27 19:55:50,072 - rank_0 - INFO - Rank 0 using CPU
2025-03-27 19:55:50,073 - rank_0 - INFO - Model size: 0.08 MB
2025-03-27 19:55:52,309 - rank_0 - INFO - Starting weight transmission at 1743119752.3098733, size: 85.31 KB
2025-03-27 19:55:52,320 - rank_0 - INFO - Completed weight transmission in 0.0110s, throughput: 7.56 MB/s
2025-03-27 19:55:52,336 - rank_0 - INFO - Starting weight transmission at 1743119752.3363845, size: 85.31 KB
2025-03-27 19:55:52,351 - rank_0 - INFO - Completed weight transmission in 0.0150s, throughput: 5.54 MB/s
2025-03-27 19:55:52,366 - rank_0 - INFO - Starting weight transmission at 1743119752.36653, size: 85.31 KB
2025-03-27 19:55:52,375 - rank_0 - INFO - Completed weight transmission in 0.0088s, throughput: 9.49 MB/s
2025-03-27 19:55:52,390 - rank_0 - INFO - Starting weight transmission at 1743119752.3907924, size: 85.31 KB
2025-03-27 19:55:52,399 - rank_0 - INFO - Completed weight transmission in 0.0085s, throughput: 9.84 MB/s
2025-03-27 19:55:52,414 - rank_0 - INFO - Starting weight transmission at 1743119752.4149084, size: 85.31 KB
2025-03-27 19:55:52,423 - rank_0 - INFO - Completed weight transmission in 0.0085s, throughput: 9.77 MB/s
2025-03-27 19:55:52,438 - rank_0 - INFO - Starting weight transmission at 1743119752.4385571, size: 85.31 KB
2025-03-27 19:55:52,451 - rank_0 - INFO - Completed weight transmission in 0.0129s, throughput: 6.47 MB/s
2025-03-27 19:55:52,466 - rank_0 - INFO - Starting weight transmission at 1743119752.466531, size: 85.31 KB
2025-03-27 19:55:52,477 - rank_0 - INFO - Completed weight transmission in 0.0109s, throughput: 7.64 MB/s
2025-03-27 19:55:52,492 - rank_0 - INFO - Starting weight transmission at 1743119752.4929478, size: 85.31 KB
